Id,Label,timeset,modularity_class
0,0,,1
1,1,,1
3,3,,0
65,65,,2
197,197,,1
198,198,,1
199,199,,1
2,2,,0
4,4,,0
5,5,,0
84,84,,3
171,171,,1
6,6,,0
112,112,,4
7,7,,0
11,11,,0
191,191,,1
8,8,,0
9,9,,0
10,10,,0
91,91,,3
169,169,,5
90,90,,3
12,12,,0
13,13,,0
14,14,,0
15,15,,0
30,30,,0
35,35,,0
16,16,,0
17,17,,0
21,21,,0
18,18,,0
147,147,,5
19,19,,0
69,69,,3
20,20,,0
159,159,,5
184,184,,1
22,22,,0
23,23,,0
103,103,,4
104,104,,4
24,24,,0
25,25,,0
37,37,,0
26,26,,0
189,189,,1
27,27,,0
28,28,,0
29,29,,0
100,100,,3
31,31,,0
32,32,,0
33,33,,0
34,34,,0
36,36,,0
38,38,,2
170,170,,5
39,39,,2
40,40,,2
41,41,,2
42,42,,2
108,108,,4
121,121,,4
43,43,,2
44,44,,2
45,45,,2
46,46,,2
47,47,,2
83,83,,3
48,48,,2
49,49,,2
66,66,,2
50,50,,2
51,51,,2
52,52,,2
78,78,,3
53,53,,2
54,54,,2
55,55,,2
56,56,,2
57,57,,2
58,58,,2
59,59,,2
60,60,,2
61,61,,2
105,105,,4
62,62,,2
63,63,,2
64,64,,2
67,67,,3
68,68,,3
160,160,,5
70,70,,3
71,71,,3
72,72,,3
102,102,,4
73,73,,3
74,74,,3
75,75,,3
76,76,,3
77,77,,3
154,154,,5
79,79,,3
80,80,,3
81,81,,3
82,82,,3
85,85,,3
86,86,,3
87,87,,3
88,88,,3
89,89,,3
92,92,,3
93,93,,3
146,146,,5
94,94,,3
95,95,,3
96,96,,3
97,97,,3
98,98,,3
99,99,,3
101,101,,3
124,124,,4
106,106,,4
107,107,,4
109,109,,4
110,110,,4
111,111,,4
113,113,,4
153,153,,5
114,114,,4
131,131,,5
115,115,,4
116,116,,4
117,117,,4
118,118,,4
119,119,,4
120,120,,4
122,122,,4
123,123,,4
125,125,,4
174,174,,1
126,126,,5
127,127,,5
128,128,,5
129,129,,5
130,130,,5
132,132,,5
133,133,,5
134,134,,5
135,135,,5
136,136,,5
137,137,,5
138,138,,5
139,139,,5
140,140,,5
185,185,,1
141,141,,5
166,166,,5
167,167,,5
142,142,,5
143,143,,5
144,144,,5
145,145,,5
148,148,,5
149,149,,5
155,155,,5
195,195,,1
150,150,,5
151,151,,5
152,152,,5
186,186,,1
156,156,,5
187,187,,1
157,157,,5
182,182,,1
158,158,,5
161,161,,5
162,162,,5
163,163,,5
164,164,,5
165,165,,5
180,180,,1
168,168,,5
194,194,,1
172,172,,1
173,173,,1
175,175,,1
176,176,,1
177,177,,1
178,178,,1
179,179,,1
181,181,,1
183,183,,1
188,188,,1
190,190,,1
192,192,,1
193,193,,1
196,196,,1
