Id,Label,timeset,modularity_class
0,0,,1
1,1,,1
2,2,,3
3,3,,1
4,4,,1
5,5,,1
7,7,,3
8,8,,1
11,11,,1
12,12,,1
13,13,,1
14,14,,1
15,15,,3
17,17,,0
18,18,,2
25,25,,2
28,28,,1
35,35,,1
36,36,,1
38,38,,3
42,42,,0
45,45,,1
46,46,,3
53,53,,1
56,56,,1
65,65,,1
75,75,,2
76,76,,1
78,78,,1
80,80,,1
110,110,,1
118,118,,1
123,123,,3
136,136,,1
137,137,,3
138,138,,0
158,158,,3
163,163,,2
189,189,,1
9,9,,2
19,19,,3
22,22,,1
34,34,,1
39,39,,2
47,47,,0
71,71,,3
73,73,,0
84,84,,1
91,91,,3
99,99,,1
109,109,,1
133,133,,2
156,156,,2
166,166,,2
167,167,,1
171,171,,1
183,183,,0
6,6,,1
10,10,,2
20,20,,0
24,24,,3
37,37,,2
40,40,,0
41,41,,3
50,50,,1
55,55,,3
57,57,,2
63,63,,0
94,94,,3
100,100,,3
101,101,,0
106,106,,0
119,119,,3
131,131,,3
139,139,,3
140,140,,3
141,141,,3
145,145,,3
146,146,,3
157,157,,3
165,165,,1
180,180,,3
186,186,,3
187,187,,3
193,193,,3
33,33,,1
81,81,,2
92,92,,0
125,125,,1
130,130,,2
188,188,,0
31,31,,2
43,43,,1
132,132,,1
159,159,,1
26,26,,2
103,103,,1
134,134,,2
148,148,,2
195,195,,2
66,66,,1
85,85,,1
93,93,,3
97,97,,0
105,105,,2
160,160,,3
178,178,,1
16,16,,0
23,23,,2
86,86,,3
95,95,,0
150,150,,2
112,112,,2
122,122,,1
151,151,,2
153,153,,1
21,21,,2
59,59,,2
117,117,,2
155,155,,2
175,175,,2
176,176,,2
60,60,,2
64,64,,3
161,161,,2
108,108,,1
129,129,,1
144,144,,3
114,114,,0
77,77,,0
27,27,,0
32,32,,0
74,74,,1
168,168,,3
179,179,,3
30,30,,0
49,49,,2
51,51,,0
58,58,,0
69,69,,0
70,70,,0
72,72,,0
83,83,,2
98,98,,0
102,102,,0
104,104,,3
107,107,,0
152,152,,0
181,181,,0
29,29,,2
124,124,,3
127,127,,0
121,121,,2
192,192,,2
196,196,,2
52,52,,3
90,90,,3
143,143,,0
149,149,,3
173,173,,3
185,185,,3
68,68,,1
44,44,,0
48,48,,0
61,61,,2
82,82,,1
87,87,,2
113,113,,2
116,116,,2
174,174,,2
89,89,,0
96,96,,0
147,147,,3
67,67,,2
135,135,,0
182,182,,2
142,142,,2
154,154,,2
177,177,,0
190,190,,3
79,79,,3
170,170,,0
54,54,,1
88,88,,2
169,169,,0
199,199,,0
62,62,,1
191,191,,0
128,128,,0
172,172,,3
164,164,,3
126,126,,0
111,111,,3
162,162,,0
184,184,,3
198,198,,0
194,194,,2
197,197,,2
115,115,,0
120,120,,2
