Id,Label,timeset,modularity_class
0,0,,0
1,1,,0
2,2,,2
3,3,,2
4,4,,2
5,5,,0
7,7,,2
8,8,,0
11,11,,0
12,12,,2
13,13,,0
14,14,,0
15,15,,1
17,17,,1
18,18,,1
25,25,,2
28,28,,0
35,35,,2
36,36,,0
38,38,,2
42,42,,2
45,45,,0
46,46,,3
53,53,,0
56,56,,0
65,65,,0
75,75,,0
76,76,,0
78,78,,3
80,80,,0
110,110,,2
118,118,,3
123,123,,4
136,136,,0
137,137,,0
138,138,,0
158,158,,2
163,163,,0
189,189,,0
9,9,,3
19,19,,3
22,22,,2
34,34,,3
39,39,,1
47,47,,1
71,71,,0
73,73,,3
84,84,,3
91,91,,0
99,99,,0
109,109,,0
133,133,,1
156,156,,2
166,166,,0
167,167,,0
171,171,,4
183,183,,2
6,6,,3
10,10,,2
20,20,,1
24,24,,3
37,37,,0
40,40,,0
41,41,,2
50,50,,2
55,55,,2
57,57,,2
63,63,,2
94,94,,0
100,100,,0
101,101,,2
106,106,,1
119,119,,4
131,131,,2
139,139,,4
140,140,,2
141,141,,0
145,145,,2
146,146,,2
157,157,,2
165,165,,2
180,180,,0
186,186,,4
187,187,,2
193,193,,2
33,33,,0
81,81,,3
92,92,,3
125,125,,1
130,130,,2
188,188,,1
31,31,,1
43,43,,1
132,132,,0
159,159,,2
26,26,,0
103,103,,0
134,134,,1
148,148,,0
195,195,,3
66,66,,3
85,85,,4
93,93,,4
97,97,,3
105,105,,3
160,160,,3
178,178,,0
16,16,,1
23,23,,2
86,86,,2
95,95,,2
150,150,,0
112,112,,0
122,122,,3
151,151,,0
153,153,,4
21,21,,3
59,59,,1
117,117,,3
155,155,,3
175,175,,2
176,176,,3
60,60,,2
64,64,,2
161,161,,0
108,108,,0
129,129,,3
144,144,,0
114,114,,2
77,77,,2
27,27,,1
32,32,,1
74,74,,1
168,168,,1
179,179,,1
30,30,,1
49,49,,1
51,51,,3
58,58,,1
69,69,,1
70,70,,1
72,72,,1
83,83,,1
98,98,,0
102,102,,1
104,104,,1
107,107,,1
152,152,,1
181,181,,2
29,29,,3
124,124,,2
127,127,,1
121,121,,1
192,192,,0
196,196,,0
52,52,,3
90,90,,1
143,143,,3
149,149,,3
173,173,,3
185,185,,0
68,68,,2
44,44,,1
48,48,,3
61,61,,2
82,82,,4
87,87,,2
113,113,,0
116,116,,3
174,174,,3
89,89,,1
96,96,,1
147,147,,2
67,67,,2
135,135,,1
182,182,,0
142,142,,0
154,154,,3
177,177,,0
190,190,,4
79,79,,0
170,170,,1
54,54,,0
88,88,,0
169,169,,1
199,199,,1
62,62,,0
191,191,,1
128,128,,0
172,172,,1
164,164,,0
126,126,,3
111,111,,0
162,162,,3
184,184,,0
198,198,,3
194,194,,0
197,197,,0
115,115,,1
120,120,,3
